零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600064360,顶盖后横梁内板总成,P,01A01,A-1,0.6,-0.6,0.054,0.11,0.052,0.021
K600064360,顶盖后横梁内板总成,P,01A01,A-1,0.6,-0.6,0.065,0.027,0.049,0.042
K600064360,顶盖后横梁内板总成,P,01A01,A-2,0.6,-0.6,0.209,0.295,0.233,0.147
K600064360,顶盖后横梁内板总成,P,01A01,A-2,0.6,-0.6,-0.351,-0.172,-0.391,-0.416
K600064360,顶盖后横梁内板总成,P,01A02,A-3,0.6,-0.6,-0.142,-0.374,-0.117,-0.269
K600064360,顶盖后横梁内板总成,P,01A02,A-4,0.6,-0.6,-0.174,-0.358,-0.188,-0.233
K600064360,顶盖后横梁内板总成,P,01A02,A-5,0.6,-0.6,-0.144,-0.307,-0.174,-0.148
K600064360,顶盖后横梁内板总成,P,01A02,A-6,0.6,-0.6,-0.16,-0.31,-0.166,-0.133
K600064360,顶盖后横梁内板总成,P,01A02,A-7,0.6,-0.6,-0.261,-0.43,-0.296,-0.24
K600064360,顶盖后横梁内板总成,P,01A02,A-8,0.6,-0.6,-0.319,-0.49,-0.337,-0.307
K600064360,顶盖后横梁内板总成,P,01A02,A-9,0.6,-0.6,-0.323,-0.493,-0.383,-0.414
K600064360,顶盖后横梁内板总成,P,01A02,A-10,0.6,-0.6,-0.34,-0.479,-0.372,-0.372
K600064360,顶盖后横梁内板总成,P,01A02,A-11,0.6,-0.6,-0.249,-0.34,-0.199,-0.223
K600064360,顶盖后横梁内板总成,P,01B01,A-12,1,0,0.619,0.629,0.723,0.42
K600064360,顶盖后横梁内板总成,P,01B01,A-13,1,0,0.398,0.31,0.46,0.305
K600064360,顶盖后横梁内板总成,P,01B01,A-14,1,0,0.137,0.15,0.213,0.013
K600064360,顶盖后横梁内板总成,P,01B01,A-15,1,0,0.555,0.51,0.672,0.567
K600064360,顶盖后横梁内板总成,P,01B01,A-16,1,0,0.475,0.433,0.585,0.587
K600064360,顶盖后横梁内板总成,P,01B01,A-17,1,0,0.446,0.441,0.556,0.511
K600064360,顶盖后横梁内板总成,P,01B01,A-18,1,0,0.175,0.073,0.243,0.342
K600064360,顶盖后横梁内板总成,P,01B01,A-19,1,0,0.574,0.423,0.621,0.348
K600064360,顶盖后横梁内板总成,P,01D01,A12~A-19,0.5,0,0.482,0.556,0.51,0.574
K600064360,顶盖后横梁内板总成,P,01C01,A-1,0.6,-0.6,-0.128,-0.057,-0.121,-0.126
K600064360,顶盖后横梁内板总成,P,01C01,A-2,0.6,-0.6,-0.383,-0.327,-0.402,-0.378
K600064360,顶盖后横梁内板总成,P,01C01,A-3,0.6,-0.6,-0.294,-0.249,-0.314,-0.298
K600064360,顶盖后横梁内板总成,P,01C01,A-4,0.6,-0.6,-0.279,-0.265,-0.32,-0.334
K600064360,顶盖后横梁内板总成,P,01C01,A-5,0.6,-0.6,-0.226,-0.271,-0.32,-0.353
K600064360,顶盖后横梁内板总成,P,01C01,A-6,0.6,-0.6,-0.176,-0.268,-0.317,-0.405
K600064360,顶盖后横梁内板总成,P,01C01,A-7,0.6,-0.6,-0.18,-0.295,-0.348,-0.432
K600064360,顶盖后横梁内板总成,P,01C01,A-8,0.6,-0.6,-0.245,-0.336,-0.395,-0.446
K600064360,顶盖后横梁内板总成,P,01C01,A-9,0.6,-0.6,-0.132,-0.114,-0.164,-0.198
K600064360,顶盖后横梁内板总成,P,01C01,A-10,0.6,-0.6,-0.108,-0.075,-0.13,-0.168
K600064360,顶盖后横梁内板总成,P,02A01,A-1,0.5,-0.5,0.107,0.346,0.289,0.238
K600064360,顶盖后横梁内板总成,P,02A01,A-2,0.5,-0.5,0.243,0.159,0.328,0.25
K600064360,顶盖后横梁内板总成,P,02A01,A-3,0.5,-0.5,0.275,0.297,0.253,0.359
K600064360,顶盖后横梁内板总成,P,02A01,A-4,0.5,-0.5,0.28,0.084,0.201,0.268
K600064360,顶盖后横梁内板总成,P,02A01,A-5,0.5,-0.5,0.201,0.332,0.228,0.216
K600064360,顶盖后横梁内板总成,P,02A01,A-6,0.5,-0.5,0.159,0.039,0.098,0.315
K600064360,顶盖后横梁内板总成,P,02A01,A-7,0.5,-0.5,0.088,0.063,0.078,0.065
K600064360,顶盖后横梁内板总成,P,02A01,A-8,0.5,-0.5,-0.218,-0.223,-0.138,-0.104
K600064360,顶盖后横梁内板总成,P,02A01,A-9,0.5,-0.5,-0.064,0.028,-0.059,-0.109
K600064360,顶盖后横梁内板总成,P,02A01,A-10,0.5,-0.5,-0.022,0.024,-0.043,-0.132
K600064360,顶盖后横梁内板总成,P,02A01,A-11,0.5,-0.5,-0.038,-0.029,0.013,-0.101
K600064360,顶盖后横梁内板总成,P,02A01,A-12,0.5,-0.5,0.075,0.078,0.084,0.103
K600064360,顶盖后横梁内板总成,P,02A01,A-13,0.5,-0.5,0.238,0.249,0.176,0.231
K600064360,顶盖后横梁内板总成,P,02A01,A-14,0.5,-0.5,0.252,0.34,0.146,0.334
