零件号,零件名,类型,编号,序号,上公差,下公差,零件1,零件2,零件3,零件4
K600059260,顶盖天窗加强环,P,01A01,A-1,0.6,-0.6,-0.264,0.13,-0.312,0.085
K600059260,顶盖天窗加强环,P,01A01,A-2,0.6,-0.6,-0.103,0.36,-0.105,0.416
K600059260,顶盖天窗加强环,P,01A01,A-3,0.6,-0.6,-0.03,0.32,0.001,0.376
K600059260,顶盖天窗加强环,P,01A01,A-4,0.6,-0.6,-0.429,-0.117,-0.41,-0.101
K600059260,顶盖天窗加强环,P,01A01,A-5,0.6,-0.6,-0.453,-0.091,-0.53,-0.028
K600059260,顶盖天窗加强环,P,01A01,A-6,0.6,-0.6,-0.253,0.04,-0.23,0.063
K600059260,顶盖天窗加强环,P,01A01,A-7,0.6,-0.6,-0.079,0.356,-0.044,0.437
K600059260,顶盖天窗加强环,P,01A01,A-8,0.6,-0.6,0.322,0.587,0.421,0.572
K600059260,顶盖天窗加强环,P,01A01,A-9,0.6,-0.6,-0.251,0.148,-0.235,0.245
K600059260,顶盖天窗加强环,P,01A01,A-10,0.6,-0.6,-0.261,0.164,-0.253,0.257
K600059260,顶盖天窗加强环,P,01A01,A-11,0.6,-0.6,-0.211,0.16,-0.23,0.203
K600059260,顶盖天窗加强环,P,01A01,A-12,0.6,-0.6,0.017,0.306,-0.003,0.4
K600059260,顶盖天窗加强环,P,01A01,A-13,0.6,-0.6,-0.52,-0.102,-0.458,-0.005
K600059260,顶盖天窗加强环,P,01A01,A-14,0.6,-0.6,-0.493,-0.078,-0.253,-0.026
K600059260,顶盖天窗加强环,P,01A01,A-15,0.6,-0.6,-0.32,0.095,-0.28,0.195
K600059260,顶盖天窗加强环,P,01A01,A-16,0.6,-0.6,-0.108,0.3,-0.05,0.365
K600059260,顶盖天窗加强环,P,01A01,A-17,0.6,-0.6,-0.19,0.291,-0.044,0.268
K600059260,顶盖天窗加强环,P,01A01,A-18,0.6,-0.6,-0.16,0.241,-0.02,0.332
K600059260,顶盖天窗加强环,F,01A03,A-1~A-18,0.6,0,,,,
K600059260,顶盖天窗加强环,P,01A02,E-1,0.75,-0.75,-0.016,-0.097,-0.083,0.005
K600059260,顶盖天窗加强环,P,01A02,E-2,0.75,-0.75,-0.42,-0.565,-0.496,-0.443
K600059260,顶盖天窗加强环,P,01A02,E-3,0.75,-0.75,-0.184,-0.246,-0.361,-0.125
K600059260,顶盖天窗加强环,P,01A02,E-4,0.75,-0.75,-0.122,-0.173,-0.27,-0.051
K600059260,顶盖天窗加强环,P,01A02,E-5,0.75,-0.75,-0.14,-0.192,-0.204,-0.069
K600059260,顶盖天窗加强环,P,01A02,E-6,0.75,-0.75,-0.045,0.009,-0.196,0.072
K600059260,顶盖天窗加强环,P,01A02,E-7,0.75,-0.75,-0.009,0.065,-0.001,0.292
K600059260,顶盖天窗加强环,P,01A02,E-8,0.75,-0.75,-0.595,-0.481,-0.543,-0.265
K600059260,顶盖天窗加强环,P,01A02,E-9,0.75,-0.75,-0.01,0.015,0.058,0.224
K600059260,顶盖天窗加强环,P,01A02,E-10,0.75,-0.75,0.216,0.281,0.273,0.256
K600059260,顶盖天窗加强环,P,01A02,E-11,0.75,-0.75,0.195,0.226,0.242,0.221
K600059260,顶盖天窗加强环,P,01A02,E-12,0.75,-0.75,0.416,0.475,0.379,0.376
K600059260,顶盖天窗加强环,P,01A02,E-13,0.75,-0.75,0.275,0.45,0.148,0.349
K600059260,顶盖天窗加强环,P,01A02,E-14,0.75,-0.75,0.108,0.206,0.122,0.175
K600059260,顶盖天窗加强环,P,01A02,E-15,0.75,-0.75,0.39,0.459,0.393,0.313
K600059260,顶盖天窗加强环,P,01A02,E-16,0.75,-0.75,-0.006,-0.162,-0.03,-0.378
K600059260,顶盖天窗加强环,P,01A02,E-17,0.75,-0.75,-0.246,-0.278,-0.273,-0.387
K600059260,顶盖天窗加强环,P,01A02,E-18,0.75,-0.75,-0.28,-0.394,-0.322,-0.576
K600059260,顶盖天窗加强环,P,02A01,A-1a,0.6,-0.6,0.244,0.757,-0.416,0.674
K600059260,顶盖天窗加强环,P,02A01,A-1b,0.6,-0.6,0.098,0.481,0.402,0.551
K600059260,顶盖天窗加强环,P,02A01,A-2a,0.6,-0.6,0.466,0.84,0.641,0.884
K600059260,顶盖天窗加强环,P,02A01,A-2b,0.6,-0.6,-0.055,0.371,0.362,0.454
K600059260,顶盖天窗加强环,P,02A01,A-3a,0.6,-0.6,-0.052,0.553,0.301,0.502
K600059260,顶盖天窗加强环,P,02A01,A-3b,0.6,-0.6,-0.226,0.411,0.089,0.506
K600059260,顶盖天窗加强环,P,02A01,A-4a,0.6,-0.6,0.359,0.191,-0.193,
K600059260,顶盖天窗加强环,P,02A01,A-4b,0.6,-0.6,-0.142,0.115,-0.248,0.101
K600059260,顶盖天窗加强环,P,02A01,A-5a,0.6,-0.6,-0.025,0.331,-0.485,0.452
K600059260,顶盖天窗加强环,P,02A01,A-5b,0.6,-0.6,-0.11,0.218,-0.225,0.331
K600059260,顶盖天窗加强环,P,03A01,A-6a,0.6,-0.6,-0.273,-0.159,-0.106,-0.194
K600059260,顶盖天窗加强环,P,03A01,A-6b,0.6,-0.6,-0.326,-0.204,-0.242,-0.119
K600059260,顶盖天窗加强环,P,03A01,A-7a,0.6,-0.6,-0.661,-0.134,-0.64,-0.042
K600059260,顶盖天窗加强环,P,03A01,A-7b,0.6,-0.6,-0.58,-0.251,-0.53,-0.211
K600059260,顶盖天窗加强环,P,03A01,A-8a,0.6,-0.6,-0.501,-0.236,-0.367,-0.138
K600059260,顶盖天窗加强环,P,03A01,A-8b,0.6,-0.6,-0.612,-0.408,-0.512,-0.36
K600059260,顶盖天窗加强环,P,05A01,A-1a,0.75,-0.75,-0.292,0.773,-0.03,0.818
K600059260,顶盖天窗加强环,P,05A01,A-1b,0.75,-0.75,-0.394,0.401,0.008,0.461
K600059260,顶盖天窗加强环,P,05A01,A-2a,0.75,-0.75,0.153,-0.553,-0.703,-0.506
K600059260,顶盖天窗加强环,P,05A01,A-2b,0.75,-0.75,0.285,-0.247,-0.402,-0.316
K600059260,顶盖天窗加强环,P,05A01,A-3a,0.75,-0.75,-0.146,-0.67,-0.646,-0.621
K600059260,顶盖天窗加强环,P,05A01,A-3b,0.75,-0.75,-0.023,-0.417,-0.402,-0.366
K600059260,顶盖天窗加强环,P,05A01,A-4a,0.75,-0.75,-0.343,-0.42,-0.711,-0.574
K600059260,顶盖天窗加强环,P,05A01,A-4b,0.75,-0.75,-0.302,-0.455,-0.609,-0.523
K600059260,顶盖天窗加强环,P,05A01,A-5a,0.75,-0.75,0.154,0.067,-0.228,0.121
K600059260,顶盖天窗加强环,P,05A01,A-5b,0.75,-0.75,0.329,0.277,-0.099,0.331
K600059260,顶盖天窗加强环,P,05A01,A-6a,0.75,-0.75,0.239,0.168,-0.045,0.225
K600059260,顶盖天窗加强环,P,05A01,A-6b,0.75,-0.75,0.418,0.351,0.241,0.408
K600059260,顶盖天窗加强环,P,05A01,A-7a,0.75,-0.75,-0.137,-0.03,-0.189,-0.016
K600059260,顶盖天窗加强环,P,05A01,A-7b,0.75,-0.75,0.249,0.285,0.094,0.345
K600059260,顶盖天窗加强环,P,05A01,A-8a,0.75,-0.75,0.04,0.438,0.446,0.501
K600059260,顶盖天窗加强环,P,05A01,A-8b,0.75,-0.75,0.326,0.619,0.578,0.683
K600059260,顶盖天窗加强环,P,05A01,A-9a,0.75,-0.75,0.013,0.359,0.39,0.38
K600059260,顶盖天窗加强环,P,05A01,A-9b,0.75,-0.75,0.451,0.62,0.623,0.687
K600059260,顶盖天窗加强环,P,05A01,A-10a,0.75,-0.75,0.151,0.426,0.468,0.533
K600059260,顶盖天窗加强环,P,05A01,A-10b,0.75,-0.75,-0.005,0.308,0.259,0.369
K600059260,顶盖天窗加强环,P,05A01,A-11a,0.75,-0.75,0.08,0.304,-0.364,0.402
K600059260,顶盖天窗加强环,P,05A01,A-11b,0.75,-0.75,0.3,0.645,-0.08,0.743
K600059260,顶盖天窗加强环,P,05A01,A-12a,0.75,-0.75,0.101,0.466,-0.305,0.415
K600059260,顶盖天窗加强环,P,05A01,A-12b,0.75,-0.75,0.15,0.564,-0.272,0.326
K600059260,顶盖天窗加强环,P,05A01,A-13a,0.75,-0.75,0.375,0.743,-0.113,0.593
K600059260,顶盖天窗加强环,P,05A01,A-13b,0.75,-0.75,0.061,0.477,-0.376,0.295
K600059260,顶盖天窗加强环,P,05A01,A-14a,0.75,-0.75,0.273,0.64,-0.088,0.772
K600059260,顶盖天窗加强环,P,05A01,A-14b,0.75,-0.75,0.501,0.741,0.037,0.873
K600059260,顶盖天窗加强环,P,05A01,A-15a,0.75,-0.75,0.054,0.609,-0.355,0.464
K600059260,顶盖天窗加强环,P,05A01,A-15b,0.75,-0.75,0.299,0.549,-0.027,0.683
K600059260,顶盖天窗加强环,P,05A01,A-16a,0.75,-0.75,0.042,0.539,-0.375,0.396
K600059260,顶盖天窗加强环,P,05A01,A-16b,0.75,-0.75,0.36,0.571,0.106,0.707
K600059260,顶盖天窗加强环,P,05A01,A-17a,0.75,-0.75,-0.478,0.104,-0.75,-0.034
K600059260,顶盖天窗加强环,P,05A01,A-17b,0.75,-0.75,0.265,0.726,-0.01,0.587
K600059260,顶盖天窗加强环,P,05A02,E-18,0.75,-0.75,-0.145,-0.081,-0.096,-0.218
K600059260,顶盖天窗加强环,P,05A02,E-19,0.75,-0.75,-0.224,-0.395,-0.296,-0.464
K600059260,顶盖天窗加强环,P,05A02,E-20,0.75,-0.75,-0.403,-0.526,-0.39,-0.652
K600059260,顶盖天窗加强环,P,05A02,E-21,0.75,-0.75,-0.581,-0.63,-0.582,-0.631
K600059260,顶盖天窗加强环,P,05A02,E-22,0.75,-0.75,-0.281,-0.221,-0.211,-0.344
K600059260,顶盖天窗加强环,P,05A02,E-23,0.75,-0.75,-0.247,-0.312,-0.254,-0.434
K600059260,顶盖天窗加强环,P,05A02,E-24,0.75,-0.75,-0.298,-0.383,-0.272,-0.504
K600059260,顶盖天窗加强环,P,05A02,E-25,0.75,-0.75,-0.358,-0.549,-0.215,-0.67
K600059260,顶盖天窗加强环,P,05A02,E-26,0.75,-0.75,-0.3,-0.415,-0.293,-0.246
K600059260,顶盖天窗加强环,P,04A01,A-1,0.6,-0.6,-0.296,-0.251,-0.443,-0.192
K600059260,顶盖天窗加强环,P,04A01,A-2,0.6,-0.6,-0.311,-0.194,-0.422,-0.085
K600059260,顶盖天窗加强环,P,04A01,A-3,0.6,-0.6,-0.311,-0.263,-0.465,-0.207
K600059260,顶盖天窗加强环,P,04A01,A-4,0.6,-0.6,-0.191,-0.269,-0.335,0.085
K600059260,顶盖天窗加强环,P,04A01,A-5,0.6,-0.6,-0.231,-0.053,-0.347,0.007
K600059260,顶盖天窗加强环,P,04A01,A-6,0.6,-0.6,-0.167,-0.126,-0.247,-0.064
K600059260,顶盖天窗加强环,P,04A01,A-7,0.6,-0.6,-0.211,0.004,-0.274,0.068
K600059260,顶盖天窗加强环,P,04A01,A-8,0.6,-0.6,-0.144,0.098,-0.172,0.22
K600059260,顶盖天窗加强环,P,04A01,A-9,0.6,-0.6,-0.013,0.343,-0.078,0.443
K600059260,顶盖天窗加强环,P,04A01,A-10,0.6,-0.6,-0.078,0.156,-0.263,0.399
K600059260,顶盖天窗加强环,P,04A01,A-11,0.6,-0.6,-0.122,0.274,-0.257,0.37
K600059260,顶盖天窗加强环,P,04A01,A-12,0.6,-0.6,-0.066,0.32,-0.103,0.415
K600059260,顶盖天窗加强环,P,04A01,A-13,0.6,-0.6,-0.101,0.211,-0.162,0.459
K600059260,顶盖天窗加强环,P,04A01,A-14,0.6,-0.6,-0.122,0.225,-0.173,0.324
K600059260,顶盖天窗加强环,P,04A01,A-15,0.6,-0.6,-0.206,0.211,-0.095,0.312
K600059260,顶盖天窗加强环,P,04A01,A-16,0.6,-0.6,-0.173,0.139,-0.026,0.392
K600059260,顶盖天窗加强环,P,04A01,A-17,0.6,-0.6,0.008,0.372,0.095,0.477
